timestamp,parada,ramal,eta,distancia,patente
2026-02-03 18:49:29,Calle 622 y Colectora Autopista,324-5,02min,1269m,324-F569
2026-02-03 18:49:29,Calle 622 y Colectora Autopista,324-6,15min,1669m,324-I139
